X,Y,Z,X,Y,Z,X,Y,Z
1.2241, -247.1238, -207273.4000,-134.0350, 450.7266, 232.1553,196.6438, -4783.2770, 369.8330
-4.0469, -205.0099, -216304.7000,-139.7948, 392.3118, 242.1317,210.9005, -4812.3300, 396.6461
-2.9246, -190.9998, -225382.8000,-144.9802, 336.0051, 251.1131,225.4046, -4837.3250, 423.9244
0.8066, -177.8763, -234523.4000,-149.9407, 280.4735, 259.7050,240.0643, -4859.1280, 451.4952
-8.7070, -167.6017, -243742.2000,-154.4090, 225.9187, 267.4443,254.9948, -4878.4110, 479.5755
-7.4254, -156.9077, -253031.2000,-158.7721, 170.6325, 275.0014,270.0508, -4896.5840, 507.8915
0.7775, -164.3742, -262398.4000,-162.9151, 110.5218, 282.1773,-2419.6580, -2134.7700, -4550.7140
1.4605, -154.2961, -271875.0000,-167.7313, 13.5178, 290.5192,-5576.9430, 973.3837, -10488.7000
2.0679, -145.0358, -281437.5000,-173.1488, -129.7686, 299.9026,-4224.9850, -649.7836, -7946.0390
0.2572, -121.6725, -291132.8000,-178.3567, -277.6085, 308.9229,-2430.5750, -2699.5630, -4571.2460
0.8047, -114.6826, -300953.1000,-182.8612, -409.7122, 316.7249,-2197.4080, -3118.8680, -4132.7240
1.2957, -108.2315, -310906.2000,-187.0006, -526.8873, 323.8945,-2643.2450, -2820.9240, -4971.2180
-1.3750, -102.8100, -320992.2000,-190.6968, -639.6762, 330.2965,-3099.0010, -2510.5310, -5828.3720
-1.6456, -109.5699, -331195.3000,-194.2590, -753.7363, 336.4664,-3392.1270, -2367.4710, -6379.6620
-0.2960, -92.1525, -341515.6000,-197.4434, -868.3381, 341.9819,-3591.7540, -2319.1700, -6755.1040
0.1696, -87.3964, -351953.1000,-200.5475, -982.0133, 347.3585,-3776.0540, -2282.7670, -7101.7220
-2.4606, -93.9596, -362500.0000,-203.0755, -1095.5050, 351.7372,-3970.2290, -2233.8630, -7466.9130
-6.1496, -80.2959, -373152.3000,-206.5914, -1175.5510, 357.8268,-4161.3280, -2178.5100, -7826.3160
-3.1898, -75.9709, -383894.5000,-224.4088, -1193.8890, 388.6873,-4311.3500, -2143.7820, -8108.4680
-0.8361, -80.9756, -394734.3000,-223.1348, -1185.3960, 386.4809,-4414.6380, -2143.8240, -8302.7240
-4.2053, -69.4764, -405671.8000,-236.7029, -1121.7570, 409.9814,-4465.6340, -2180.6340, -8398.6350
0.0333, -73.7055, -416714.8000,-217.2199, -1111.7580, 376.2359,-4502.2450, -2238.4160, -8467.4890
-1.2856, -62.9744, -427867.2000,-221.9922, -1094.4760, 384.5018,-4551.0300, -2288.9820, -8559.2420
-1.0117, -67.7621, -439144.5000,-221.9220, -1090.2170, 384.3803,-4604.9100, -2329.6320, -8660.5720
-0.6105, -64.8715, -450535.1000,-221.9895, -1100.7870, 384.4971,-4649.7300, -2369.8960, -8744.8680
-1.8399, -55.6530, -462035.1000,-222.5783, -1125.0660, 385.5170,-4681.1300, -2416.5390, -8803.9210
1.6608, -59.2207, -473648.4000,-223.4142, -1161.2680, 386.9648,-4701.0980, -2467.7160, -8841.4780
0.4203, -57.2196, -485367.2000,-224.5672, -1208.3140, 388.9618,-4712.7700, -2521.2020, -8863.4290
-2.2299, -49.6162, -497195.3000,-226.0159, -1264.4060, 391.4709,-4718.4460, -2573.7080, -8874.1040
-1.8732, -47.7184, -509117.2000,-227.7706, -1328.0130, 394.5102,-4718.2470, -2626.0970, -8873.7290
-1.5406, -45.9297, -521132.8000,-229.3772, -1397.3920, 397.2928,-4713.4340, -2676.6880, -8864.6770
-2.3368, -50.0419, -533226.5000,-231.1218, -1470.2530, 400.3146,-4704.1140, -2725.6210, -8847.1480
-0.9402, -42.6501, -545406.2000,-232.6328, -1545.0800, 402.9319,-4692.0980, -2771.6660, -8824.5480
-3.0237, -41.8398, -557656.2000,-234.1097, -1619.3140, 405.4899,-4678.1140, -2813.1640, -8798.2520
0.9512, -44.2620, -569972.6000,-235.1143, -1691.2350, 407.2299,-4662.9100, -2851.4620, -8769.6560
1.1681, -42.7548, -582347.6000,-235.8154, -1759.1270, 408.4443,-4647.8060, -2884.1760, -8741.2490
0.0454, -37.1042, -594781.2000,-236.1361, -1821.6430, 408.9997,-4633.2500, -2911.0420, -8713.8710
0.2545, -35.8974, -607269.5000,-236.0257, -1877.3040, 408.8085,-4620.1830, -2932.1360, -8689.2970
-0.2317, -39.3390, -619804.6000,-235.3164, -1924.8860, 407.5800,-4609.2470, -2946.3710, -8668.7310
1.9062, -37.4794, -632386.7000,-234.1537, -1964.1820, 405.5661,-4600.1930, -2954.4940, -8651.7030
2.0631, -36.3257, -645011.7000,-232.7500, -1994.6060, 403.1348,-4593.8970, -2955.7840, -8639.8620
-0.8122, -32.2779, -657687.4000,-230.8888, -2016.4660, 399.9110,-4590.1660, -2950.0120, -8632.8450
-0.6123, -31.3856, -669769.5000,-228.8406, -2029.0790, 396.3636,-4585.5650, -2942.8370, -8624.1910
2.4739, -33.2462, -682531.2000,-226.1795, -2034.8620, 391.7543,-4593.0540, -2918.0650, -8638.2740
2.5975, -32.3017, -695320.3000,-223.6510, -2033.6540, 387.3749,-4594.6070, -2894.0140, -8641.1950
-1.6270, -29.4209, -708164.0000,-220.9171, -2026.2540, 382.6398,-4595.9350, -2865.4440, -8643.6950
-0.2454, -31.7129, -721062.4000,-218.2249, -2014.1130, 377.9767,-4598.9380, -2831.1660, -8649.3440
0.2835, -27.3244, -733999.9000,-215.4086, -1998.5440, 373.0987,-4602.3060, -2791.8220, -8655.6760
1.8858, -26.0525, -746999.9000,-212.7691, -1980.7060, 368.5268,-4604.7410, -2748.2500, -8660.2560
0.5808, -25.9547, -760039.0000,-210.1230, -1962.2580, 363.9437,-4605.5950, -2701.3960, -8661.8600
3.2103, -27.5018, -773132.8000,-207.6801, -1944.0200, 359.7124,-4604.2120, -2652.2570, -8659.2600
0.8500, -24.7071, -786281.2000,-205.4058, -1927.4870, 355.7733,-4600.3430, -2600.6720, -8651.9830
-0.5304, -27.8271, -799480.4000,-203.1821, -1913.4540, 351.9218,-4593.6070, -2547.7330, -8639.3160
-2.7124, -25.2016, -812734.3000,-201.1393, -1902.7600, 348.3836,-4584.2680, -2493.6320, -8621.7510
-2.5040, -24.6557, -826037.1000,-199.1771, -1895.9900, 344.9849,-4571.4820, -2439.6300, -8597.7040
-1.2345, -26.5485, -839392.5000,-197.2788, -1893.9380, 341.6969,-4556.0270, -2385.0650, -8568.6380
0.1261, -25.4606, -852800.8000,-195.3940, -1896.3630, 338.4322,-4537.4840, -2332.0480, -8533.7650
0.2729, -24.9316, -866263.6000,-193.6156, -1904.1200, 335.3520,-4516.7050, -2279.5700, -8494.6830
-0.7111, -24.9480, -879769.5000,-191.5535, -1916.6980, 331.7803,-4492.9420, -2229.3470, -8449.9930
-0.4898, -21.7416, -893320.3000,-189.5924, -1933.5060, 328.3836,-4468.5830, -2180.0010, -8404.1790
0.6777, -23.4757, -906919.9000,-187.5548, -1953.9200, 324.8545,-4441.9280, -2133.5060, -8354.0490
0.8021, -23.0305, -920558.6000,-185.1577, -1978.1150, 320.7025,-4413.8300, -2090.0830, -8301.2050
-1.1257, -21.0534, -934232.4000,-182.7880, -2005.0890, 316.5981,-4384.8480, -2049.7230, -8246.6990
0.0282, -22.7006, -947945.3000,-180.0625, -2034.2220, 311.8773,-4356.0060, -2011.4540, -8192.4540
1.1472, -21.8026, -961681.6000,-177.1758, -2064.8240, 306.8774,-4326.8590, -1976.8530, -8137.6360
1.2539, -21.4265, -975445.3000,-174.0989, -2096.2030, 301.5480,-4297.8180, -1945.1450, -8083.0180
-0.5871, -19.6644, -989224.6000,-170.8024, -2127.3210, 295.8384,-4269.5240, -1916.6920, -8029.8050
0.4665, -18.8571, -1003018.0000,-167.3300, -2157.7920, 289.8240,-4241.8370, -1891.1630, -7977.7320
-0.3466, -19.0521, -1016814.0000,-162.8928, -2191.7820, 282.1386,-4207.6940, -1872.7620, -7913.5200
0.7475, -20.5586, -1030607.0000,-157.4751, -2231.3110, 272.7549,-4156.9510, -1870.5820, -7818.0860
1.7342, -19.7625, -1044406.0000,-152.8133, -2261.3750, 264.6803,-4111.0020, -1869.4400, -7731.6690
1.8210, -19.4688, -1058197.0000,-148.9192, -2284.9910, 257.9355,-4082.1590, -1856.8670, -7677.4230
0.0862, -17.9692, -1071980.0000,-144.8611, -2305.6520, 250.9067,-4059.5060, -1841.0300, -7634.8180
1.9864, -18.9162, -1085738.0000,-140.7876, -2322.9350, 243.8512,-4036.0350, -1827.9130, -7590.6750
0.2815, -17.4909, -1099471.0000,-136.8432, -2337.0500, 237.0194,-4011.0910, -1817.9960, -7543.7620
0.3745, -17.2661, -1113170.0000,-132.8506, -2347.1230, 230.1039,-3984.9370, -1810.6860, -7494.5750
2.2165, -18.1672, -1126834.0000,-129.2103, -2353.5420, 223.7986,-3959.6860, -1803.9120, -7447.0840
1.3367, -16.3673, -1140455.0000,-125.5608, -2356.8930, 217.4777,-3934.4770, -1798.1750, -7399.6730
2.3591, -17.7164, -1154023.0000,-122.1938, -2356.6180, 211.6459,-3909.3100, -1792.7930, -7352.3410
1.4804, -15.9805, -1167547.0000,-119.0819, -2353.7240, 206.2558,-3883.7660, -1788.7360, -7304.3010
1.5491, -15.7986, -1181008.0000,-115.9314, -2348.2520, 200.7990,-3857.5570, -1785.2240, -7255.0080
1.6159, -15.6242, -1194406.0000,-113.2175, -2340.8400, 196.0985,-3830.7030, -1782.5890, -7204.5030
2.6218, -16.9184, -1207732.0000,-110.4556, -2331.7010, 191.3146,-3803.0200, -1780.8460, -7152.4380
1.7440, -15.2962, -1220982.0000,-107.8973, -2322.1220, 186.8836,-3774.2130, -1780.1180, -7098.2600
-1.0424, -17.0176, -1234148.0000,-105.3402, -2311.4140, 182.4546,-3743.9150, -1780.8040, -7041.2780
0.4591, -15.9309, -1247225.0000,-103.0007, -2301.0670, 178.4024,-3712.5870, -1782.1680, -6982.3580
0.5343, -15.7882, -1260199.0000,-100.6172, -2291.1240, 174.2740,-3679.9870, -1784.8780, -6921.0460
-0.7655, -16.5854, -1273068.0000,-98.1892, -2281.9190, 170.0686,-3646.2110, -1788.6330, -6857.5230
0.6781, -15.5206, -1285822.0000,-95.6747, -2273.9560, 165.7133,-3610.9880, -1793.8670, -6791.2790
1.6789, -16.7374, -1298449.0000,-93.2024, -2267.2170, 161.4312,-3574.8500, -1800.1160, -6723.3130
0.4174, -17.5344, -1310943.0000,-90.5674, -2262.3590, 156.8674,-3537.8730, -1807.2720, -6653.7700
-0.4353, -16.0920, -1323293.0000,-87.8471, -2258.9910, 152.1556,-3500.2710, -1815.7600, -6583.0500
-0.3592, -15.9822, -1335480.0000,-85.0123, -2257.0280, 147.2455,-3462.1310, -1825.0450, -6511.3200
0.6442, -17.1647, -1347506.0000,-82.0805, -2257.3460, 142.1675,-3424.1110, -1834.6580, -6439.8130
0.7151, -17.0525, -1359352.0000,-79.0836, -2258.7100, 136.9767,-3386.5540, -1845.1770, -6369.1800
0.7837, -16.9456, -1371006.0000,-75.9690, -2261.3190, 131.5822,-3349.4690, -1855.4570, -6299.4340
0.8501, -16.8438, -1382457.0000,-72.7937, -2265.3580, 126.0824,-3313.3580, -1865.9210, -6231.5190
0.9142, -16.7470, -1393701.0000,-69.6305, -2270.1000, 120.6035,-3278.6120, -1876.5440, -6166.1710
2.2073, -15.7257, -1404713.0000,-65.8306, -2277.2420, 114.0220,-3245.1350, -1886.6540, -6103.2090
1.3280, -14.4168, -1415486.0000,-62.0713, -2285.5530, 107.5106,-3213.7490, -1895.8350, -6044.1820
1.3761, -14.3430, -1426010.0000,-58.7531, -2294.9200, 101.7632,-3183.6450, -1905.2210, -5987.5630
1.1491, -16.4058, -1436271.0000,-55.3898, -2303.0410, 95.9379,-3159.2500, -1909.2470, -5941.6850
2.3971, -15.4013, -1446271.0000,-52.1572, -2310.1570, 90.3389,-3137.6120, -1913.1100, -5900.9880
0.3236, -15.0741, -1456004.0000,-49.0142, -2316.7610, 84.8951,-3116.2350, -1917.7460, -5860.7850
1.5515, -14.0842, -1465475.0000,-46.0007, -2322.8010, 79.6755,-3096.3470, -1922.4260, -5823.3790
1.5914, -14.0278, -1474682.0000,-43.1429, -2328.0200, 74.7256,-3079.0110, -1925.3780, -5790.7760
2.5614, -15.1388, -1483621.0000,-40.3460, -2332.5410, 69.8813,-3063.3020, -1927.4280, -5761.2320
0.5088, -14.8557, -1492295.0000,-37.7224, -2336.3490, 65.3370,-3049.9710, -1927.9440, -5736.1600
0.5506, -14.8082, -1500705.0000,-35.2549, -2339.4600, 61.0633,-3038.8540, -1927.0820, -5715.2500
1.7363, -13.8303, -1508846.0000,-32.8189, -2342.1220, 56.8440,-3029.0650, -1924.8550, -5696.8420
2.7027, -14.9273, -1516723.0000,-30.6391, -2344.1490, 53.0685,-3020.6570, -1921.9550, -5681.0280
1.6002, -15.8154, -1524336.0000,-28.3770, -2345.8020, 49.1504,-3012.8920, -1917.8730, -5666.4240
1.8307, -13.7083, -1531684.0000,-26.3507, -2347.1600, 45.6406,-3006.0680, -1913.0320, -5653.5890
0.7351, -14.6073, -1538766.0000,-24.4087, -2348.4890, 42.2771,-2999.7680, -1907.3820, -5641.7410
1.8873, -13.6378, -1545590.0000,-22.4771, -2349.6760, 38.9314,-2993.4130, -1900.9510, -5629.7890
2.8501, -14.7210, -1552152.0000,-20.6458, -2350.5680, 35.7594,-2987.1070, -1894.0150, -5617.9300
1.7647, -15.6233, -1558453.0000,-18.9300, -2351.7050, 32.7877,-2980.5530, -1886.5660, -5605.6040
1.7933, -15.5911, -1564498.0000,-17.1725, -2352.6650, 29.7436,-2973.1330, -1878.8730, -5591.6490
0.8826, -14.4573, -1570291.0000,-15.7434, -2353.3780, 27.2683,-2964.8880, -1871.1800, -5576.1420
2.0082, -13.4937, -1575830.0000,-14.2342, -2354.1160, 24.6542,-2955.7190, -1863.1170, -5558.8980
2.0290, -13.4698, -1581117.0000,-12.8777, -2354.2630, 22.3047,-2945.3550, -1854.7770, -5539.4070
2.9885, -14.5409, -1586164.0000,-11.6313, -2354.3270, 20.1460,-2934.0400, -1846.9650, -5518.1260
0.9770, -14.3663, -1590965.0000,-10.3561, -2354.6670, 17.9373,-2921.3270, -1838.7530, -5494.2150
1.9382, -15.4349, -1595527.0000,-9.2884, -2354.5370, 16.0879,-2907.8700, -1830.4730, -5468.9080
1.9582, -15.4142, -1599859.0000,-8.2616, -2354.1350, 14.3094,-2892.9880, -1822.3600, -5440.9170
